Id_empl,Name,Last_Name,birth_date,Gender,area,salary,Start_date,finish_date,promotion_date,type,Age,Email
00-0381660,Wainwright,Corfield,1996-12-13,male,Engineering,164055,2001-02-20,2008-12-05,,Hybrid,27,Wainwright_Co.H@genericcompany.com
00-1052230,Elmo,McNee,1988-12-16,female,Services,78418,2002-07-18,2006-05-22,,Remote,35,Elmo_Mc.R@genericcompany.com
00-1100714,Regen,Nafzger,1990-04-06,male,"Human Resources",164369,2016-07-23,2022-07-12,,Hybrid,34,Regen_Na.H@genericcompany.com
00-1189819,Rudolf,Reichardt,1979-06-05,male,"Business Development",97134,2007-05-07,2022-02-25,,Hybrid,45,Rudolf_Re.H@genericcompany.com
00-1284831,Hamel,Edgeler,1973-12-22,male,"Human Resources",152256,2001-08-08,2007-10-31,,Hybrid,50,Hamel_Ed.H@genericcompany.com
00-1722938,Perla,Durrand,1976-03-11,male,Sales,178809,2014-01-01,2023-01-10,,Remote,48,Perla_Du.R@genericcompany.com
00-1877605,Bibbie,Matteoli,1997-06-18,male,Support,74632,2008-05-05,2024-03-02,,Remote,27,Bibbie_Ma.R@genericcompany.com
00-1957612,Artus,Cawcutt,1970-02-28,female,Services,110278,2005-07-08,2012-08-01,,Remote,54,Artus_Ca.R@genericcompany.com
00-2607971,Gale,Dreossi,1972-06-16,male,Auditing,74124,2006-02-02,2018-07-01,,Remote,52,Gale_Dr.R@genericcompany.com
00-2874422,Diandra,Bourget,1971-04-06,male,"Human Resources",133999,2003-07-26,2015-01-14,,Remote,53,Diandra_Bo.R@genericcompany.com
00-3860994,Allyce,Giacobazzi,1969-04-04,male,Marketing,100936,2019-12-27,2022-12-26,,Remote,55,Allyce_Gi.R@genericcompany.com
00-3987484,Chelsy,Clacey,1991-09-12,female,Training,104211,2006-01-30,2021-07-23,,Hybrid,33,Chelsy_Cl.H@genericcompany.com
00-5175297,Bethina,Mathissen,1966-01-24,female,Engineering,154164,2001-12-23,2012-03-28,,Hybrid,58,Bethina_Ma.H@genericcompany.com
00-5421994,Sile,Schultheiss,1986-01-23,female,Accounting,103290,2012-12-10,2021-10-28,,Remote,38,Sile_Sc.R@genericcompany.com
00-5649238,Antonietta,Obal,1977-11-03,male,Engineering,173686,2003-02-13,2008-06-24,,Remote,46,Antonietta_Ob.R@genericcompany.com
00-5880378,Dannie,Thornton-Dewhirst,2000-10-18,female,Accounting,151416,2002-12-12,2019-05-30,,Remote,23,Dannie_Th.R@genericcompany.com
00-5917185,Frasquito,Frape,1972-08-02,male,Engineering,125066,2002-06-29,2012-08-16,,Remote,52,Frasquito_Fr.R@genericcompany.com
00-5993032,Corrinne,Very,1991-05-27,male,"Research and Development",86661,2005-06-21,2015-03-23,,Hybrid,33,Corrinne_Ve.H@genericcompany.com
00-6163624,Malvina,"Mc Grath",2001-09-12,male,Engineering,129922,2005-05-17,2009-11-03,,Hybrid,23,Malvina_Mc.H@genericcompany.com
00-6338870,Curtice,Kidgell,1980-03-14,female,Engineering,67616,2018-03-18,2023-03-24,,Remote,44,Curtice_Ki.R@genericcompany.com
00-6371948,Ruby,O'Duilleain,1986-05-10,female,"Business Development",139305,2008-09-07,2012-01-09,,Remote,38,Ruby_O'.R@genericcompany.com
00-6565696,Flory,Ibbitt,1968-03-09,female,"Human Resources",160270,2009-08-13,2014-06-03,,Hybrid,56,Flory_Ib.H@genericcompany.com
00-6902222,Pall,Snedker,1969-04-07,male,Support,115852,2009-10-04,2014-01-31,,Remote,55,Pall_Sn.R@genericcompany.com
00-7494159,Lu,Larive,1999-08-13,female,"Human Resources",135078,2004-05-31,2010-12-03,,Hybrid,25,Lu_La.H@genericcompany.com
00-7800396,Siward,Phelipeaux,1981-03-29,male,"Business Development",115788,2003-02-09,2016-01-11,,Remote,43,Siward_Ph.R@genericcompany.com
00-7925080,Chrisy,Risen,1985-07-23,female,Engineering,175768,2011-02-03,2018-06-05,,Remote,39,Chrisy_Ri.R@genericcompany.com
00-8010185,Tab,Lissemore,2000-11-25,female,"Business Development",157628,2005-12-03,2012-02-21,,Remote,23,Tab_Li.R@genericcompany.com
00-8230593,Sheppard,Klosges,1992-10-25,male,"Product Management",174964,2010-08-22,2017-12-30,,Hybrid,31,Sheppard_Kl.H@genericcompany.com
00-8250034,Karlen,Duckworth,1981-11-03,male,"Human Resources",81548,2010-05-19,2023-01-17,,Hybrid,42,Karlen_Du.H@genericcompany.com
00-8536569,Sterling,Prue,1966-03-28,female,"Human Resources",152763,2004-03-22,2005-03-23,,Hybrid,58,Sterling_Pr.H@genericcompany.com
00-8679430,Lorianna,Mitten,1971-10-09,female,Accounting,168875,2001-02-10,2018-11-16,,Hybrid,52,Lorianna_Mi.H@genericcompany.com
00-8772885,Thorn,Kidston,1967-10-15,male,Engineering,95230,2017-11-22,2022-03-26,,Hybrid,56,Thorn_Ki.H@genericcompany.com
01-0074905,Robinson,"Le Moucheux",1982-06-10,female,"Human Resources",118739,2015-03-28,2019-02-01,,Hybrid,42,Robinson_Le.H@genericcompany.com
01-0381181,Merv,Weiss,1982-09-08,female,Accounting,161942,2003-08-29,2019-08-08,,Hybrid,42,Merv_We.H@genericcompany.com
01-0417194,Nissy,Reskelly,1967-03-02,male,Support,93740,2017-01-13,2019-11-19,,Hybrid,57,Nissy_Re.H@genericcompany.com
01-0600294,Susanna,Bushell,1998-05-26,male,"Product Management",69282,2015-08-14,2016-12-12,,Hybrid,26,Susanna_Bu.H@genericcompany.com
01-1268137,Loreen,Bewicke,1981-01-24,female,Engineering,108910,2009-10-03,2017-07-19,,Remote,43,Loreen_Be.R@genericcompany.com
01-1660610,Xenos,Vallerine,1972-09-03,female,Training,156861,2006-06-03,2007-07-15,,Remote,52,Xenos_Va.R@genericcompany.com
01-2097413,Hugues,Balog,1975-12-19,male,Engineering,133393,2004-07-07,2010-04-08,,Hybrid,48,Hugues_Ba.H@genericcompany.com
01-3018825,Franzen,Londors,1967-12-03,female,Sales,126494,2003-12-15,2010-12-03,,Remote,56,Franzen_Lo.R@genericcompany.com
01-3950822,Jaquenetta,Otham,2001-02-15,male,Accounting,158086,2003-03-04,2012-05-12,,Remote,23,Jaquenetta_Ot.R@genericcompany.com
01-3999156,Sam,Boyett,1990-04-12,male,Services,163031,2005-05-26,2017-02-12,,Hybrid,34,Sam_Bo.H@genericcompany.com
01-4236217,Melissa,Chazotte,1998-12-22,male,"Human Resources",144553,2010-04-01,2015-01-12,,Remote,25,Melissa_Ch.R@genericcompany.com
01-4279334,Marya,Gabbotts,1986-02-23,male,"Research and Development",177373,2001-03-02,2019-07-24,,Hybrid,38,Marya_Ga.H@genericcompany.com
01-4613458,Harmonia,McGoon,1992-12-28,male,Engineering,149426,2009-10-06,2016-04-05,,Hybrid,31,Harmonia_Mc.H@genericcompany.com
01-4620408,Linzy,Geeves,1981-09-21,male,Engineering,141586,2008-07-24,2020-01-21,,Remote,43,Linzy_Ge.R@genericcompany.com
01-4807422,Brina,Gabbetis,1997-11-29,female,"Business Development",88835,2005-05-07,2017-12-10,,Hybrid,26,Brina_Ga.H@genericcompany.com
01-4984757,Gwynne,Elesander,1978-12-20,male,Engineering,87646,2002-07-09,2007-11-28,,Remote,45,Gwynne_El.R@genericcompany.com
01-5188629,Shirline,Sprake,1969-02-15,male,"Product Management",95946,2016-03-02,2023-04-08,,Remote,55,Shirline_Sp.R@genericcompany.com
01-5560541,Neil,Spurier,1982-10-09,male,Support,180805,2013-05-19,2014-02-15,,Hybrid,41,Neil_Sp.H@genericcompany.com
01-5926286,Vivi,Conerding,1974-02-25,male,"Business Development",152985,2004-11-07,2017-12-10,,Hybrid,50,Vivi_Co.H@genericcompany.com
01-5945630,Gisella,Iltchev,1999-02-18,female,Accounting,181518,2014-10-06,2024-08-05,,Hybrid,25,Gisella_Il.H@genericcompany.com
01-6693422,Kenyon,Bramford,1970-01-14,male,Engineering,141129,2006-05-28,2018-12-10,,Remote,54,Kenyon_Br.R@genericcompany.com
01-6845961,Darrick,Kimbling,1967-09-04,female,Engineering,138720,2002-03-20,2012-06-25,,Remote,57,Darrick_Ki.R@genericcompany.com
01-6945383,Margarete,Arnull,1990-07-26,male,"Research and Development",153176,2003-11-02,2008-08-02,,Hybrid,34,Margarete_Ar.H@genericcompany.com
01-7405105,Terrill,Denerley,1988-12-23,female,Services,128848,2011-11-02,2015-10-19,,Hybrid,35,Terrill_De.H@genericcompany.com
01-7446563,Iolande,Patchett,1965-11-07,male,Engineering,109705,2005-03-24,2006-12-13,,Remote,58,Iolande_Pa.R@genericcompany.com
01-7851887,Sorcha,Agget,1967-06-22,female,Accounting,167529,2004-03-13,2023-09-28,,Remote,57,Sorcha_Ag.R@genericcompany.com
01-7876427,Ara,Klimushev,1983-04-29,male,"Research and Development",68245,2005-12-03,2016-05-11,,Remote,41,Ara_Kl.R@genericcompany.com
01-8840917,Rich,Horsted,1985-04-18,male,Engineering,154919,2015-05-13,2020-06-03,,Hybrid,39,Rich_Ho.H@genericcompany.com
01-8878283,D'arcy,Rushsorth,1981-08-04,female,Support,146427,2016-05-09,2016-12-15,,Hybrid,43,D'arcy_Ru.H@genericcompany.com
